workerid,strangedescription,trial_type,actual_utterance,actual_effect_question,name,object_level,gender,num_objects,object,effect,actual_cause,quantifier,rt,cause,response,other_gender,slide_number_in_experiment
0,idk,cause_effect_prior,"""Some of the houses beeped.""",Do you think Sarah is describing a normal event?,Brenda,object_low,F,15,houses,beeped,Brenda left the lights on in  15 houses.,Some,7644,left the lights on in __,no,F,3
0,,cause_effect_prior,"""Some of the books burnt.""",Do you think Ruth is describing a normal event?,Helen,object_mid,F,15,books,burnt,Helen threw  15 books  into a fire.,Some,4882,threw __ into a fire,yes,F,4
0,,cause_effect_prior,"""All of the shelves fell down.""",Do you think Jessica is describing a normal event?,Michael,object_low,M,15,shelves,fell down,Michael punched  15 shelves.,All,4707,punched __,yes,F,5
0,,cause_effect_prior,"""None of the carrots dissolved.""",Do you think Frank is describing a normal event?,William,object_low,M,15,carrots,dissolved,William put  15 carrots  in a bucket of water.,None,2757,put __ in a bucket of water,yes,M,6
0,,cause_effect_prior,"""All of the computers lit up.""",Do you think Samuel is describing a normal event?,Jason,object_mid,M,15,computers,lit up,Jason pressed the &quotecharon&quotechar button on  15 computers.,All,3268,pressed the &quotecharon&quotechar button on __,yes,M,7
0,,cause_effect_prior,"""Some of the novels had the letter Z in them.""",Do you think Jeffrey is describing a normal event?,Rachel,object_high,F,15,novels,had the letter Z in them,Rachel wrote  15 novels.,Some,3617,wrote __,yes,M,8
0,,cause_effect_prior,"""All of the pancakes landed flat.""",Do you think Sandra is describing a normal event?,Elizabeth,object_mid,F,15,pancakes,landed flat,Elizabeth tossed  15 pancakes.,All,2651,tossed __,yes,F,9
0,,cause_effect_prior,"""What a strange thing to do.""",Do you think Nicholas is describing a normal event?,Joshua,object_low,M,15,baseballs,stuck to the wall,Joshua threw  15 baseballs  against a wall.,long_filler,6464,threw __ against a wall,yes,M,10
0,,cause_effect_prior,"""So many parts need to work for us to not die.""",Do you think Ryan is describing a normal event?,Christopher,object_low,M,15,bicycles,stopped,Christopher pressed the brakes on  15 bicycles.,long_filler,4665,pressed the brakes on __,yes,M,11
0,The shirts should have stained,cause_effect_prior,"""None of the white shirts got stained.""",Do you think Rebecca is describing a normal event?,Anthony,object_mid,M,15,white shirts,got stained,Anthony spilled red nail polish on  15 white shirts.,None,13297,spilled red nail polish on __,no,F,12
0,,cause_effect_prior,"""Some of the phone screens reflected the sunlight.""",Do you think Eric is describing a normal event?,Richard,object_low,M,15,phone screens,reflected the sunlight,Richard placed  15 phone screens  in the sun.,Some,10665,placed __ in the sun,yes,M,13
0,,cause_effect_prior,"""None of the CDs exploded.""",Do you think Patrick is describing a normal event?,Andrew,object_low,M,15,CDs,exploded,Andrew heated up  15 CDs  in a microwave.,None,1617,heated up __ in a microwave,yes,M,14
0,,cause_effect_prior,"""Some of the butterflies ate the seeds.""",Do you think Emily is describing a normal event?,Jennifer,object_mid,F,15,butterflies,ate the seeds,Jennifer left seeds out for  15 butterflies.,Some,22060,left seeds out for __,yes,F,15
0,,cause_effect_prior,"""Some of the banana peels decomposed.""",Do you think Heather is describing a normal event?,Thomas,object_high,M,15,banana peels,decomposed,Thomas put  15 banana peels  in a compost pile for a month.,Some,1735,put __ in a compost pile for a month,yes,F,16
0,,cause_effect_prior,"""Nothing surprising there.""",Do you think Amy is describing a normal event?,Linda,object_low,F,15,bottles of hand soap,froze,Linda put  15 bottles of hand soap  in the freezer.,short_filler,3190,put __ in the freezer,yes,F,17
0,,cause_effect_prior,"""Pretty normal.""",Do you think Margaret is describing a normal event?,Melissa,object_mid,F,15,boxes,broke,Melissa ran  15 boxes  over with a car.,short_filler,4117,ran __ over with a car,yes,F,18
0,,cause_effect_prior,"""Some of the books ripped.""",Do you think Steven is describing a normal event?,Larry,object_high,M,15,books,ripped,Larry used  15 books  as dog toys.,Some,1962,used __ as dog toys,yes,M,19
0,,cause_effect_prior,"""Typical.""",Do you think Jerry is describing a normal event?,Paul,object_mid,M,15,bus drivers,honked,Paul cut off  15 bus drivers.,short_filler,2386,cut off __,yes,M,20
0,,cause_effect_prior,"""All of the bike lights ran out of batteries.""",Do you think Donald is describing a normal event?,Kenneth,object_mid,M,15,bike lights,ran out of batteries,Kenneth left  15 bike lights  on (and unplugged) all day.,All,1544,left __ on (and unplugged) all day,yes,M,21
0,,cause_effect_prior,"""None of the crayons melted.""",Do you think Kathleen is describing a normal event?,Ashley,object_mid,F,15,crayons,melted,Ashley left  15 crayons  in the hot sun.,None,1909,left __ in the hot sun,yes,F,22
0,,cause_effect_prior,"""As usual.""",Do you think Stephanie is describing a normal event?,Donna,object_low,F,15,strawberries,were green,Donna saw  15 strawberries.,short_filler,2100,saw __,yes,F,23
0,,cause_effect_prior,"""Some of the poems rhymed.""",Do you think Mark is describing a normal event?,Michelle,object_low,F,15,poems,rhymed,Michelle wrote  15 poems.,Some,2017,wrote __,yes,M,24
0,,cause_effect_prior,"""All of the eggs popped.""",Do you think Karen is describing a normal event?,Nancy,object_low,F,15,eggs,popped,Nancy poked  15 eggs  with a pin.,All,1952,poked __ with a pin,yes,F,25
0,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Daniel is describing a normal event?,Sharon,object_high,F,15,wheelchairs,rolled,Sharon pushed  15 wheelchairs.,short_filler,2494,pushed __,yes,M,26
0,,cause_effect_prior,"""It looks like a zebra.""",Do you think Amanda is describing a normal event?,Emma,object_high,F,15,stickers,stuck,Emma glued  15 stickers  to a piece of paper.,long_filler,1945,glued __ to a piece of paper,yes,F,27
0,,cause_effect_prior,"""None of the fireworks exploded.""",Do you think George is describing a normal event?,John,object_mid,M,15,fireworks,exploded,John lit  15 fireworks.,None,1855,lit __,yes,M,28
0,,cause_effect_prior,"""Some of the cups sank.""",Do you think Shirley is describing a normal event?,Charles,object_mid,M,15,cups,sank,Charles threw  15 cups  into a pool.,Some,1327,threw __ into a pool,yes,F,29
0,,cause_effect_prior,"""I just wish the weather was better.""",Do you think Joseph is describing a normal event?,Catherine,object_low,F,15,backpacks,blew away,Catherine left  15 backpacks  on a table on a windy day.,long_filler,1624,left __ on a table on a windy day,yes,M,30
0,,cause_effect_prior,"""Some of the lawyers laughed.""",Do you think Jack is describing a normal event?,Ronald,object_low,M,15,lawyers,laughed,Ronald told a joke to  15 lawyers.,Some,1424,told a joke to __,yes,M,31
0,,cause_effect_prior,"""Everyone with the selfie craze these days.""",Do you think Edward is describing a normal event?,Emily,object_high,F,15,cameras,flashed,Emily took a picture with  15 cameras.,long_filler,1668,took a picture with __,yes,M,32
1,It is not normal to poke a bubble with a pin and have it not pop.,cause_effect_prior,"""None of the bubbles popped.""",Do you think Timothy is describing a normal event?,Jessica,object_high,F,15,bubbles,popped,Jessica poked  15 bubbles  with a pin.,None,22571,poked __ with a pin,no,M,3
1,,cause_effect_prior,"""All of the bananas were green.""",Do you think William is describing a normal event?,Dorothy,object_mid,F,15,bananas,were green,Dorothy saw  15 bananas.,All,5544,saw __,yes,M,4
