workerid,OS,screenH,screenW,Browser
0,Windows,900,1440,Chrome
1,Windows,1050,1680,Chrome
2,Mac,800,1280,Chrome
3,Windows,960,1280,Firefox
4,Windows,1024,1280,Chrome
5,Windows,954,1696,Firefox
6,Windows,1080,1920,Chrome
7,Windows,1080,1920,Chrome
8,Mac,800,1280,Firefox
9,Windows,1050,1680,Chrome
10,Windows,1050,1680,Chrome
11,Windows,1080,1920,Chrome
12,Windows,1024,1280,Chrome
13,Mac,768,1366,Chrome
14,Mac,800,1280,Firefox
15,Windows,1080,1920,Chrome
16,Windows,768,1366,Chrome
17,Windows,768,1366,Chrome
18,Windows,900,1440,Chrome
19,Windows,720,1280,Mozilla
20,Windows,990,1760,Firefox
21,Windows,1080,1920,Chrome
22,Windows,900,1600,Firefox
23,Windows,768,1366,Chrome
24,Windows,768,1366,Chrome
25,Mac,1050,1680,Chrome
26,Windows,768,1366,Chrome
27,Windows,1080,1920,Chrome
28,Windows,768,1280,Chrome
29,Windows,1080,1920,Firefox
30,Windows,800,1280,Firefox
31,Windows,678,1207,Firefox
32,Windows,1080,1920,Firefox
33,Linux,1050,1680,Chrome
34,Windows,800,1280,Firefox
35,Windows,768,1366,Chrome
36,Windows,800,1280,Chrome
37,Windows,1080,1920,Firefox
38,Windows,768,1366,Chrome
39,Windows,768,1366,Chrome
40,Windows,1080,1920,Chrome
41,Windows,768,1024,Chrome
42,Windows,1080,1920,Chrome
43,Windows,1080,1920,Chrome
44,an unknown OS,1024,768,Safari
45,Windows,864,1536,Firefox
46,Windows,768,1366,Chrome
47,Windows,1200,1920,Chrome
48,Windows,1024,1280,Chrome
49,Windows,1200,1920,Firefox
50,Windows,900,1440,Firefox
51,Windows,1200,1600,Chrome
52,Windows,1080,1920,Chrome
53,Linux,864,1536,Chrome
54,Windows,900,1600,Firefox
55,Windows,900,1600,Chrome
56,Windows,800,1280,Chrome
57,Mac,800,1280,Chrome
58,Windows,768,1366,Chrome
59,Windows,1080,1920,Firefox
