workerid,OS,screenH,screenW,Browser
0,Windows,1080,1920,Chrome
1,Windows,768,1280,Chrome
2,Windows,1350,2400,Firefox
3,Windows,1080,1920,Chrome
4,Windows,768,1366,Chrome
5,Mac,800,1280,Chrome
6,Mac,900,1440,Safari
7,Windows,1080,1920,Firefox
8,Windows,1024,1280,Chrome
9,Windows,768,1366,Firefox
10,Mac,768,1366,Chrome
11,Windows,768,1366,Chrome
12,Mac,1080,1920,Chrome
13,Windows,960,1708,Firefox
14,Windows,1080,1920,Firefox
15,Windows,900,1600,Chrome
16,Windows,1024,1280,Chrome
17,Windows,666,1184,Firefox
18,Windows,1080,1920,Chrome
19,Windows,900,1600,Mozilla
20,Windows,960,1600,Firefox
21,Windows,900,1600,Chrome
22,Windows,900,1600,Chrome
23,Windows,1080,1920,Chrome
24,Windows,960,1280,Firefox
25,Windows,1080,1920,Chrome
26,Windows,600,800,Firefox
27,Windows,900,1600,Chrome
28,Windows,900,1600,Chrome
29,Windows,1080,1920,Chrome
30,Windows,900,1600,Chrome
31,Windows,768,1366,Chrome
32,Windows,1024,1280,Chrome
33,Mac,800,1280,Chrome
34,Windows,768,1366,Chrome
35,Windows,768,1366,Mozilla
36,Windows,768,1366,Chrome
37,Windows,800,1280,Firefox
38,Mac,1200,1920,Safari
39,Windows,800,1280,Chrome
40,Windows,640,1138,Firefox
41,Windows,900,1600,Chrome
42,Windows,768,1366,Chrome
43,Linux,900,1440,Chrome
44,Windows,1080,1920,Firefox
45,Windows,900,1600,Chrome
46,Windows,900,1600,Chrome
47,Mac,1050,1680,Chrome
48,Mac,1080,1920,Chrome
49,Windows,1050,1680,Chrome
50,Windows,1080,1920,Chrome
51,Windows,768,1366,Chrome
52,Windows,1080,1920,Chrome
53,Windows,768,1366,Chrome
54,Windows,900,1600,Firefox
55,Windows,640,1138,Firefox
56,Windows,768,1366,Chrome
57,Windows,768,1366,Chrome
58,Windows,1440,2560,Chrome
59,Windows,1080,1920,Chrome
